lines	Plant_height	year	loc
D418	99.66666667	2023	Hangzhou
D418	107.2	2023	Hefei
D418	92.33333333	2023	Wuhan
D58	77.1	2022	Hangzhou
D58	73.4	2022	Hefei
D58	68.68	2022	Wuhan
D58	67.66666667	2023	Hangzhou
D58	79.5	2023	Hefei
D58	70	2023	Wuhan
D1910	103.8	2022	Hangzhou
D1910	113.3	2022	Hefei
D1910	98.2	2022	Wuhan
D1910	103	2023	Hangzhou
D1910	118.4	2023	Hefei
D1910	114.3333333	2023	Wuhan
D586	71.1	2022	Hangzhou
D586	80.5	2022	Hefei
D586	67.04	2022	Wuhan
D586	79.66666667	2023	Hangzhou
D586	83.2	2023	Hefei
D586	65.66666667	2023	Wuhan
D1255	92	2022	Hangzhou
D1255	99	2022	Hefei
D1255	90.92	2022	Wuhan
D1255	103.3333333	2023	Hangzhou
D1255	105.6	2023	Hefei
D1255	85.33333333	2023	Wuhan
D3204	121	2022	Hangzhou
D3204	124.8	2022	Hefei
D3204	116.7	2022	Wuhan
D3204	125.6666667	2023	Hangzhou
D3204	134.4	2023	Hefei
D3204	111	2023	Wuhan
D2426	126.4	2022	Hangzhou
D2426	123.4	2022	Hefei
D2426	117.6	2022	Wuhan
D2426	125	2023	Hangzhou
D2426	132.7	2023	Hefei
D2426	113	2023	Wuhan
D919	70.54	2022	Hangzhou
D919	65.5	2022	Hefei
D919	67.38	2022	Wuhan
D919	76.33333333	2023	Hangzhou
D919	78.2	2023	Hefei
D919	79	2023	Wuhan
D1430	118.24	2022	Hangzhou
D1430	111.1	2022	Hefei
D1430	116.5	2022	Wuhan
D1430	110.3333333	2023	Hangzhou
D1430	116.3	2023	Hefei
D1430	103.6666667	2023	Wuhan
D3424	104	2022	Hangzhou
D3424	97.3	2022	Hefei
D3424	103.7	2022	Wuhan
D3424	97.33333333	2023	Hangzhou
D3424	120	2023	Hefei
D3424	97	2023	Wuhan
D6	87.84	2022	Hangzhou
D6	85.2	2022	Hefei
D6	83.58	2022	Wuhan
D6	91.66666667	2023	Hangzhou
D6	88.2	2023	Hefei
D6	80.16666667	2023	Wuhan
D62	68.42	2022	Hangzhou
D62	73.1	2022	Hefei
D62	71.62	2022	Wuhan
D62	67.33333333	2023	Hangzhou
D62	78.3	2023	Hefei
D62	71	2023	Wuhan
D2255	114.04	2022	Hangzhou
D2255	117.9	2022	Hefei
D2255	112.4	2022	Wuhan
D2255	118.6666667	2023	Hangzhou
D2255	129.3	2023	Hefei
D2255	111.3333333	2023	Wuhan
D3371	115.6	2022	Hangzhou
D3371	118.9	2022	Hefei
D3371	116.8	2022	Wuhan
D3371	101	2023	Hangzhou
D3371	127	2023	Hefei
D3371	105.6666667	2023	Wuhan
D2190	93.3	2022	Hangzhou
D2190	96.8	2022	Hefei
D2190	94.6	2022	Wuhan
D2190	92.33333333	2023	Hangzhou
D2190	102	2023	Hefei
D2190	85.66666667	2023	Wuhan
